URL,Title,Content
./articles/CBMiR2h0dHBzOi8vcGVvcGxlLmNvbS9neXBzeS1yb3NlLWJsYW5jaGFyZC10YXlsb3Itc3dpZnQtZ2V0cy13b21lbi04NDIzMTcw0gEA?hl=en-US&gl=US&ceid=US%3Aen,Gypsy Rose Blanchard Says Taylor Swift 'Gets Women',Error fetching content: Invalid URL './articles/CBMiR2h0dHBzOi8vcGVvcGxlLmNvbS9neXBzeS1yb3NlLWJsYW5jaGFyZC10YXlsb3Itc3dpZnQtZ2V0cy13b21lbi04NDIzMTcw0gEA?hl=en-US&gl=US&ceid=US%3Aen': No scheme supplied. Perhaps you meant https://./articles/CBMiR2h0dHBzOi8vcGVvcGxlLmNvbS9neXBzeS1yb3NlLWJsYW5jaGFyZC10YXlsb3Itc3dpZnQtZ2V0cy13b21lbi04NDIzMTcw0gEA?hl=en-US&gl=US&ceid=US%3Aen?
./articles/CBMikQFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2h1Z2htY2ludHlyZS8yMDI0LzAxLzA2L3RheWxvci1zd2lmdHMtY3J1ZWwtc3VtbWVyLWFsbW9zdC13YXNudC1hLXNpbmdsZW5vdy1pdHMtdGhlLWJpZ2dlc3QtcmFkaW8taGl0LW9mLWhlci1jYXJlZXIv0gGVAWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvaHVnaG1jaW50eXJlLzIwMjQvMDEvMDYvdGF5bG9yLXN3aWZ0cy1jcnVlbC1zdW1tZXItYWxtb3N0LXdhc250LWEtc2luZ2xlbm93LWl0cy10aGUtYmlnZ2VzdC1yYWRpby1oaXQtb2YtaGVyLWNhcmVlci9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,Taylor Swift’s ‘Cruel Summer’ Almost Wasn’t A Single–Now It’s The Biggest Radio Hit Of Her Career,Error fetching content: Invalid URL './articles/CBMikQFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2h1Z2htY2ludHlyZS8yMDI0LzAxLzA2L3RheWxvci1zd2lmdHMtY3J1ZWwtc3VtbWVyLWFsbW9zdC13YXNudC1hLXNpbmdsZW5vdy1pdHMtdGhlLWJpZ2dlc3QtcmFkaW8taGl0LW9mLWhlci1jYXJlZXIv0gGVAWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvaHVnaG1jaW50eXJlLzIwMjQvMDEvMDYvdGF5bG9yLXN3aWZ0cy1jcnVlbC1zdW1tZXItYWxtb3N0LXdhc250LWEtc2luZ2xlbm93LWl0cy10aGUtYmlnZ2VzdC1yYWRpby1oaXQtb2YtaGVyLWNhcmVlci9hbXAv?hl=en-US&gl=US&ceid=US%3Aen': No scheme supplied. Perhaps you meant https://./articles/CBMikQFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2h1Z2htY2ludHlyZS8yMDI0LzAxLzA2L3RheWxvci1zd2lmdHMtY3J1ZWwtc3VtbWVyLWFsbW9zdC13YXNudC1hLXNpbmdsZW5vdy1pdHMtdGhlLWJpZ2dlc3QtcmFkaW8taGl0LW9mLWhlci1jYXJlZXIv0gGVAWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvaHVnaG1jaW50eXJlLzIwMjQvMDEvMDYvdGF5bG9yLXN3aWZ0cy1jcnVlbC1zdW1tZXItYWxtb3N0LXdhc250LWEtc2luZ2xlbm93LWl0cy10aGUtYmlnZ2VzdC1yYWRpby1oaXQtb2YtaGVyLWNhcmVlci9hbXAv?hl=en-US&gl=US&ceid=US%3Aen?
./articles/CBMiV2h0dHBzOi8vd3d3Lm1hcmNhLmNvbS9lbi9saWZlc3R5bGUvY2VsZWJyaXRpZXMvMjAyNC8wMS8wNi82NTk5YTNjNmNhNDc0MTlkNDY4YjQ1YzEuaHRtbNIBV2h0dHBzOi8vYW1wLm1hcmNhLmNvbS9lbi9saWZlc3R5bGUvY2VsZWJyaXRpZXMvMjAyNC8wMS8wNi82NTk5YTNjNmNhNDc0MTlkNDY4YjQ1YzEuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,Taylor Swift's team expresses outrage over invasive New York Times opinion piece on her sexuality,Error fetching content: Invalid URL './articles/CBMiV2h0dHBzOi8vd3d3Lm1hcmNhLmNvbS9lbi9saWZlc3R5bGUvY2VsZWJyaXRpZXMvMjAyNC8wMS8wNi82NTk5YTNjNmNhNDc0MTlkNDY4YjQ1YzEuaHRtbNIBV2h0dHBzOi8vYW1wLm1hcmNhLmNvbS9lbi9saWZlc3R5bGUvY2VsZWJyaXRpZXMvMjAyNC8wMS8wNi82NTk5YTNjNmNhNDc0MTlkNDY4YjQ1YzEuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen': No scheme supplied. Perhaps you meant https://./articles/CBMiV2h0dHBzOi8vd3d3Lm1hcmNhLmNvbS9lbi9saWZlc3R5bGUvY2VsZWJyaXRpZXMvMjAyNC8wMS8wNi82NTk5YTNjNmNhNDc0MTlkNDY4YjQ1YzEuaHRtbNIBV2h0dHBzOi8vYW1wLm1hcmNhLmNvbS9lbi9saWZlc3R5bGUvY2VsZWJyaXRpZXMvMjAyNC8wMS8wNi82NTk5YTNjNmNhNDc0MTlkNDY4YjQ1YzEuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen?
./articles/CBMie2h0dHBzOi8vcGFnZXNpeC5jb20vMjAyNC8wMS8wNi9lbnRlcnRhaW5tZW50L3RheWxvci1zd2lmdHMtdGVhbS11cHNldC1vdmVyLW5ldy15b3JrLXRpbWVzLW9wLWVkLWFib3V0LWhlci1zZXh1YWxpdHktcmVwb3J0L9IBf2h0dHBzOi8vcGFnZXNpeC5jb20vMjAyNC8wMS8wNi9lbnRlcnRhaW5tZW50L3RheWxvci1zd2lmdHMtdGVhbS11cHNldC1vdmVyLW5ldy15b3JrLXRpbWVzLW9wLWVkLWFib3V0LWhlci1zZXh1YWxpdHktcmVwb3J0L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,Taylor Swift's team upset over 'invasive' and 'inappropriate' New York Times op-ed speculating about her sexuality: report,Error fetching content: Invalid URL './articles/CBMie2h0dHBzOi8vcGFnZXNpeC5jb20vMjAyNC8wMS8wNi9lbnRlcnRhaW5tZW50L3RheWxvci1zd2lmdHMtdGVhbS11cHNldC1vdmVyLW5ldy15b3JrLXRpbWVzLW9wLWVkLWFib3V0LWhlci1zZXh1YWxpdHktcmVwb3J0L9IBf2h0dHBzOi8vcGFnZXNpeC5jb20vMjAyNC8wMS8wNi9lbnRlcnRhaW5tZW50L3RheWxvci1zd2lmdHMtdGVhbS11cHNldC1vdmVyLW5ldy15b3JrLXRpbWVzLW9wLWVkLWFib3V0LWhlci1zZXh1YWxpdHktcmVwb3J0L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen': No scheme supplied. Perhaps you meant https://./articles/CBMie2h0dHBzOi8vcGFnZXNpeC5jb20vMjAyNC8wMS8wNi9lbnRlcnRhaW5tZW50L3RheWxvci1zd2lmdHMtdGVhbS11cHNldC1vdmVyLW5ldy15b3JrLXRpbWVzLW9wLWVkLWFib3V0LWhlci1zZXh1YWxpdHktcmVwb3J0L9IBf2h0dHBzOi8vcGFnZXNpeC5jb20vMjAyNC8wMS8wNi9lbnRlcnRhaW5tZW50L3RheWxvci1zd2lmdHMtdGVhbS11cHNldC1vdmVyLW5ldy15b3JrLXRpbWVzLW9wLWVkLWFib3V0LWhlci1zZXh1YWxpdHktcmVwb3J0L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen?
./articles/CBMiTmh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wMS8wNi9idXNpbmVzcy90YXlsb3Itc3dpZnQtbmV3LXlvcmstdGltZXMvaW5kZXguaHRtbNIBUmh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjQvMDEvMDYvYnVzaW5lc3MvdGF5bG9yLXN3aWZ0LW5ldy15b3JrLXRpbWVzL2luZGV4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,"Taylor Swift’s associates dismayed by New York Times piece speculating on her sexuality: ‘Invasive, untrue and inappropriate’",Error fetching content: Invalid URL './articles/CBMiTmh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wMS8wNi9idXNpbmVzcy90YXlsb3Itc3dpZnQtbmV3LXlvcmstdGltZXMvaW5kZXguaHRtbNIBUmh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjQvMDEvMDYvYnVzaW5lc3MvdGF5bG9yLXN3aWZ0LW5ldy15b3JrLXRpbWVzL2luZGV4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen': No scheme supplied. Perhaps you meant https://./articles/CBMiTmh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wMS8wNi9idXNpbmVzcy90YXlsb3Itc3dpZnQtbmV3LXlvcmstdGltZXMvaW5kZXguaHRtbNIBUmh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjQvMDEvMDYvYnVzaW5lc3MvdGF5bG9yLXN3aWZ0LW5ldy15b3JrLXRpbWVzL2luZGV4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen?
./articles/CBMiTmh0dHBzOi8vd3d3LnRoZXdyYXAuY29tL3RheWxvci1zd2lmdC1nYXktbGdidHEtcXVlZXItbmV3LXlvcmstdGltZXMtZWRpdG9yaWFsL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Taylor Swift Associates Slam NYT for Speculating on Her Sexuality,Error fetching content: Invalid URL './articles/CBMiTmh0dHBzOi8vd3d3LnRoZXdyYXAuY29tL3RheWxvci1zd2lmdC1nYXktbGdidHEtcXVlZXItbmV3LXlvcmstdGltZXMtZWRpdG9yaWFsL9IBAA?hl=en-US&gl=US&ceid=US%3Aen': No scheme supplied. Perhaps you meant https://./articles/CBMiTmh0dHBzOi8vd3d3LnRoZXdyYXAuY29tL3RheWxvci1zd2lmdC1nYXktbGdidHEtcXVlZXItbmV3LXlvcmstdGltZXMtZWRpdG9yaWFsL9IBAA?hl=en-US&gl=US&ceid=US%3Aen?
./articles/CBMiYWh0dHBzOi8vd3d3LmVsbGUuY29tL2N1bHR1cmUvY2VsZWJyaXRpZXMvYTQ2MzAyNTk4L3RheWxvci1zd2lmdC1sb3MtYW5nZWxlcy1tZWV0aW5nLXRyYXZpcy1rZWxjZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Taylor Swift Is in Los Angeles and Reportedly Planning to Meet Travis Kelce There,Error fetching content: Invalid URL './articles/CBMiYWh0dHBzOi8vd3d3LmVsbGUuY29tL2N1bHR1cmUvY2VsZWJyaXRpZXMvYTQ2MzAyNTk4L3RheWxvci1zd2lmdC1sb3MtYW5nZWxlcy1tZWV0aW5nLXRyYXZpcy1rZWxjZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen': No scheme supplied. Perhaps you meant https://./articles/CBMiYWh0dHBzOi8vd3d3LmVsbGUuY29tL2N1bHR1cmUvY2VsZWJyaXRpZXMvYTQ2MzAyNTk4L3RheWxvci1zd2lmdC1sb3MtYW5nZWxlcy1tZWV0aW5nLXRyYXZpcy1rZWxjZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen?
./articles/CBMicmh0dHBzOi8vd3d3LjEwbmV3cy5jb20vbmV3cy9mYWN0LW9yLWZpY3Rpb24vZmFjdC1vci1maWN0aW9uLXBob3RvLWNsYWltcy10by1zaG93LXRheWxvci1zd2lmdC13aXRoLWplZmZyZXktZXBzdGVpbtIBAA?hl=en-US&gl=US&ceid=US%3Aen,Fact or Fiction: Photo claims to show Taylor Swift with Jeffrey Epstein?,Error fetching content: Invalid URL './articles/CBMicmh0dHBzOi8vd3d3LjEwbmV3cy5jb20vbmV3cy9mYWN0LW9yLWZpY3Rpb24vZmFjdC1vci1maWN0aW9uLXBob3RvLWNsYWltcy10by1zaG93LXRheWxvci1zd2lmdC13aXRoLWplZmZyZXktZXBzdGVpbtIBAA?hl=en-US&gl=US&ceid=US%3Aen': No scheme supplied. Perhaps you meant https://./articles/CBMicmh0dHBzOi8vd3d3LjEwbmV3cy5jb20vbmV3cy9mYWN0LW9yLWZpY3Rpb24vZmFjdC1vci1maWN0aW9uLXBob3RvLWNsYWltcy10by1zaG93LXRheWxvci1zd2lmdC13aXRoLWplZmZyZXktZXBzdGVpbtIBAA?hl=en-US&gl=US&ceid=US%3Aen?
./articles/CBMiWWh0dHBzOi8vd3d3LmlucXVpcmVyLmNvbS9lbnRlcnRhaW5tZW50L211c2ljL3RheWxvci1zd2lmdC1zcG90aWZ5LXJveWFsdGllcy0yMDI0MDEwNi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,I didn't listen to a single Taylor Swift song on Spotify last year. She still made money off me.,Error fetching content: Invalid URL './articles/CBMiWWh0dHBzOi8vd3d3LmlucXVpcmVyLmNvbS9lbnRlcnRhaW5tZW50L211c2ljL3RheWxvci1zd2lmdC1zcG90aWZ5LXJveWFsdGllcy0yMDI0MDEwNi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen': No scheme supplied. Perhaps you meant https://./articles/CBMiWWh0dHBzOi8vd3d3LmlucXVpcmVyLmNvbS9lbnRlcnRhaW5tZW50L211c2ljL3RheWxvci1zd2lmdC1zcG90aWZ5LXJveWFsdGllcy0yMDI0MDEwNi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen?
./articles/CBMia2h0dHBzOi8vcGFyYWRlLmNvbS9uZXdzL3doeS10YXlsb3Itc3dpZnQtYmVsaWV2ZXMtanVtcGluZy1pbi1oZWFkZmlyc3QtaW50by1hLXJlbGF0aW9uc2hpcC1jYW4tYmUtYmVhdXRpZnVs0gEA?hl=en-US&gl=US&ceid=US%3Aen,Why Taylor Swift Believes Jumping in 'Headfirst' Into a Relationship Can Be 'Beautiful',Error fetching content: Invalid URL './articles/CBMia2h0dHBzOi8vcGFyYWRlLmNvbS9uZXdzL3doeS10YXlsb3Itc3dpZnQtYmVsaWV2ZXMtanVtcGluZy1pbi1oZWFkZmlyc3QtaW50by1hLXJlbGF0aW9uc2hpcC1jYW4tYmUtYmVhdXRpZnVs0gEA?hl=en-US&gl=US&ceid=US%3Aen': No scheme supplied. Perhaps you meant https://./articles/CBMia2h0dHBzOi8vcGFyYWRlLmNvbS9uZXdzL3doeS10YXlsb3Itc3dpZnQtYmVsaWV2ZXMtanVtcGluZy1pbi1oZWFkZmlyc3QtaW50by1hLXJlbGF0aW9uc2hpcC1jYW4tYmUtYmVhdXRpZnVs0gEA?hl=en-US&gl=US&ceid=US%3Aen?
./articles/CBMiZGh0dHBzOi8vd3d3LnVwaS5jb20vRW50ZXJ0YWlubWVudF9OZXdzL011c2ljLzIwMjQvMDEvMDYvdGF5bG9yLXN3aWZ0LTE5ODktYWxidW0tY2hhcnQvNDgwMTcwNDU2MDExMC_SAWhodHRwczovL3d3dy51cGkuY29tL2FtcC9FbnRlcnRhaW5tZW50X05ld3MvTXVzaWMvMjAyNC8wMS8wNi90YXlsb3Itc3dpZnQtMTk4OS1hbGJ1bS1jaGFydC80ODAxNzA0NTYwMTEwLw?hl=en-US&gl=US&ceid=US%3Aen,Taylor Swift's '1989 (Taylor's Version)' tops U.S. album chart,Error fetching content: Invalid URL './articles/CBMiZGh0dHBzOi8vd3d3LnVwaS5jb20vRW50ZXJ0YWlubWVudF9OZXdzL011c2ljLzIwMjQvMDEvMDYvdGF5bG9yLXN3aWZ0LTE5ODktYWxidW0tY2hhcnQvNDgwMTcwNDU2MDExMC_SAWhodHRwczovL3d3dy51cGkuY29tL2FtcC9FbnRlcnRhaW5tZW50X05ld3MvTXVzaWMvMjAyNC8wMS8wNi90YXlsb3Itc3dpZnQtMTk4OS1hbGJ1bS1jaGFydC80ODAxNzA0NTYwMTEwLw?hl=en-US&gl=US&ceid=US%3Aen': No scheme supplied. Perhaps you meant https://./articles/CBMiZGh0dHBzOi8vd3d3LnVwaS5jb20vRW50ZXJ0YWlubWVudF9OZXdzL011c2ljLzIwMjQvMDEvMDYvdGF5bG9yLXN3aWZ0LTE5ODktYWxidW0tY2hhcnQvNDgwMTcwNDU2MDExMC_SAWhodHRwczovL3d3dy51cGkuY29tL2FtcC9FbnRlcnRhaW5tZW50X05ld3MvTXVzaWMvMjAyNC8wMS8wNi90YXlsb3Itc3dpZnQtMTk4OS1hbGJ1bS1jaGFydC80ODAxNzA0NTYwMTEwLw?hl=en-US&gl=US&ceid=US%3Aen?
